file,comp,C_succ_nodes,C_succ_edges,P_succ_nodes,P_succ_edges,Z_succ_nodes,Z_succ_edges,C_ind_nodes,C_ind_edges,P_ind_nodes,P_ind_edges,Z_ind_nodes,Z_ind_edges,C_bet_nodes,C_bet_edges,P_bet_nodes,P_bet_edges,Z_bet_nodes,Z_bet_edges
grafo6596.38.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4513.53.gml,0,13096,43272,7328,37504,6239,36415,45276,149594,29790,134108,27571,131889,12690,45768,7212,40290,6151,39229
grafo7775.77.gml,0,148899,521223,75797,448121,63399,435723,528938,1766182,348767,1586011,319512,1556756,170659,610884,78906,519131,65941,506166
grafo10065.32.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10415.94.gml,0,260812,942094,126366,807648,104886,786168,776299,2630743,497654,2352098,451677,2306121,285301,1055474,131017,901190,107650,877823
grafo3639.42.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7018.45.gml,0,65034,219216,35076,189258,29810,183992,293646,964192,199570,870116,184492,855038,75308,270630,36522,231844,30982,226304
grafo11043.94.gml,0,284960,1032490,137084,884614,113128,860658,775012,2645618,488554,2359160,441530,2312136,302724,1125892,140612,963780,114940,938108
grafo4078.49.gml,0,50120,169092,26884,145856,23126,142098,203678,671548,137336,605206,125786,593656,57269,201940,27850,172521,23776,168447
grafo11478.39.gml,0,29214,98482,15850,85118,14036,83304,113061,373627,75922,336488,69719,330285,32141,113212,16321,97392,14156,95227
grafo4165.61.gml,0,20442,65968,11590,57116,10270,55796,104258,339394,72131,307267,66576,301712,24640,84315,12171,71846,10722,70397
grafo2819.22.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo6839.47.gml,0,2718,8130,1740,7152,1548,6960,13222,42846,9164,38788,8528,38152,2686,9270,1700,8284,1516,8100
grafo9740.73.gml,0,51126,177197,26569,152640,22529,148600,157016,527537,101739,472260,92871,463392,52510,191193,26641,165324,22629,161312
grafo10827.99.gml,0,237972,855843,115751,733622,96580,714451,707798,2396287,455789,2144278,410802,2099291,255512,952175,119175,815838,97840,794503
grafo4930.64.gml,0,42024,143318,22124,123418,18766,120060,150298,499924,100300,449926,91524,441150,45554,162310,22506,139262,19050,135806
grafo10777.100.gml,0,164646,593978,81298,510630,67642,496974,442260,1507052,277830,1342622,251160,1315952,171942,637718,82048,547824,68098,533874
grafo4867.57.gml,0,34100,112918,18477,97295,16176,94994,146222,480774,99805,434357,91736,426288,37849,134809,19123,116083,16675,113635
grafo10440.93.gml,0,110172,388148,55324,333300,45672,323648,342284,1149684,222162,1029562,201742,1009142,117374,429924,56250,368800,46342,358892
grafo5203.33.gml,0,4100,12871,2427,11198,2132,10903,17486,56995,11997,51506,11010,50519,4076,14093,2397,12414,2098,12115
grafo9031.62.gml,0,22476,75460,12390,65374,10384,63368,82288,272280,54756,244748,50174,240166,23954,84328,12492,72866,10442,70816
grafo2109.11.gml,0,4125,12285,2540,10700,2270,10430,24184,77956,16942,70714,15831,69603,4953,16198,2615,13860,2327,13572
grafo4826.79.gml,0,67210,231752,35130,199672,30076,194618,259215,858955,173208,772948,158713,758453,76436,273015,36887,233466,30956,227535
grafo11233.93.gml,0,176960,629190,88298,540528,73668,525898,544378,1833260,350402,1639284,318473,1607355,189511,700399,89752,600640,74948,585836
grafo5228.43.gml,0,11901,38524,6898,33521,5785,32408,48573,159204,32887,143518,30178,140809,12391,43499,6881,37989,5839,36947
grafo695.36.gml,0,34284,113087,18903,97706,16454,95257,165154,540111,113593,488550,104762,479719,41425,143642,19895,122112,16997,119214
grafo7776.78.gml,0,120714,420996,61986,362268,52388,352670,457264,1520998,304192,1367926,279104,1342838,138662,500248,65144,426730,54338,415924
grafo9980.32.gml,0,1178,3404,758,2984,634,2860,5328,17146,3722,15540,3390,15208,1090,3616,714,3240,612,3138
grafo8176.86.gml,0,94948,333452,47954,286458,39292,277796,287423,966033,184738,863348,168392,847002,98552,363747,47825,313020,39755,304950
grafo2306.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11162.100.gml,0,233584,845082,112242,723740,92622,704120,617491,2105795,388206,1876510,348237,1836541,244405,911306,113741,780642,94081,760982
grafo9027.87.gml,0,381088,1391818,181638,1192368,148878,1159608,1068941,3640597,676830,3248486,611602,3183258,412043,1540868,187423,1316248,152592,1281417
grafo127.21.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3270.41.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9475.65.gml,0,24323,80604,13573,69854,11504,67785,96995,319406,65155,287566,59954,282365,26131,92584,13669,80122,11606,78059
grafo1261.30.gml,0,12054,39104,7008,34058,5880,32930,59864,193962,41686,175784,38782,172880,12738,44480,6706,38448,5850,37592
grafo7763.57.gml,0,66710,230492,34882,198664,29868,193650,251937,835929,168356,752348,153993,737985,73882,267643,36021,229782,30632,224393
grafo7314.43.gml,0,3814,11647,2351,10184,2060,9893,18382,59553,12631,53802,11728,52899,3844,13371,2329,11856,2050,11577
grafo7056.41.gml,0,5824,18256,3416,15848,3002,15434,28164,91496,19512,82844,18072,81404,6446,21762,3420,18736,3028,18344
grafo4946.85.gml,0,185555,658988,93620,567053,78395,551828,662842,2214363,436902,1988423,399158,1950679,212264,772550,97933,658219,81371,641657
grafo3072.27.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9985.91.gml,0,123647,438964,61787,377104,51973,367290,380324,1280753,245449,1145878,223278,1123707,132263,486617,63190,417544,53070,407424
grafo5395.33.gml,0,12435,40148,7078,34791,6157,33870,54453,178026,37129,160702,34232,157805,13723,47257,7155,40689,6237,39771
grafo1351.28.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1112.16.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10047.32.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo256.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1690.20.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2575.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7048.57.gml,0,24759,81978,13797,71016,11834,69053,102520,337147,69128,303755,63682,298309,27093,95813,14003,82723,11993,80713
grafo5705.46.gml,0,46206,155681,24704,134179,21087,130562,191818,632359,130186,570727,119260,559801,52391,186228,25570,159407,21800,155637
grafo3638.57.gml,0,21022,69380,11734,60092,10196,58554,91362,299812,62288,270738,57406,265856,23986,83002,12014,71030,10478,69494
grafo8860.73.gml,0,78570,271560,41290,234280,35424,228414,296447,984475,197483,885511,181051,869079,90961,320630,43003,272672,36400,266069
grafo1117.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8058.80.gml,0,152220,540554,75428,463762,62588,450922,468833,1581833,304264,1417264,275509,1388509,162652,600487,77026,514861,63650,501485
grafo10079.41.gml,0,25972,85179,14848,74055,12685,71892,132369,430800,91877,390308,84915,383346,30622,106472,15074,90924,13042,88892
grafo7208.43.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo6029.39.gml,0,9360,29556,5488,25684,4872,25068,45987,149725,31788,135526,29424,133162,10713,36342,5668,31297,4989,30618
grafo3132.43.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo6786.45.gml,0,68598,233784,36267,201453,31209,196395,284714,938984,192018,846288,176474,830744,78783,281882,38222,241321,32436,235535
grafo6937.34.gml,0,1116,3208,740,2832,640,2732,5576,17996,3884,16304,3568,15988,1100,3608,708,3216,612,3120
grafo9551.78.gml,0,16766,55170,9010,47414,7960,46364,61524,202516,41256,182248,37540,178532,17202,60834,9016,52648,7972,51604
grafo2648.27.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11396.34.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10090.97.gml,0,47366,161310,25490,139434,21765,135709,198337,654205,134422,590290,123321,579189,54947,194398,26489,165940,22578,162029
grafo6471.46.gml,0,15630,51626,8592,44588,7642,43638,57093,188991,38570,170468,35044,166942,16151,56804,8575,49228,7631,48284
grafo5918.45.gml,0,25397,82565,14223,71391,12270,69438,126052,411020,86923,371891,80347,365315,30892,105589,14891,89588,13006,87703
grafo3762.39.gml,0,11886,37505,6967,32586,6183,31802,65332,211697,45594,191959,42312,188677,14379,48592,7241,41454,6402,40615
grafo958.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9928.95.gml,0,89836,312572,45462,268198,38362,261098,304236,1015264,200039,911067,182019,893047,97409,353993,46704,303288,39603,296187
grafo9842.89.gml,0,209448,753809,102755,647116,83108,627469,577705,1966742,365799,1754836,332459,1721496,218715,817837,103212,702334,84366,683488
grafo7566.47.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4238.64.gml,0,57627,193810,30886,167069,26773,162956,250606,824753,170242,744389,156986,731133,66505,237191,32187,202873,27310,197996
grafo1493.66.gml,0,28833,98400,15246,84813,13236,82803,89211,297912,58014,266715,52644,261345,28155,103464,15114,90423,13092,88401
grafo1301.31.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9801.69.gml,0,33959,114132,18541,98714,16236,96409,141641,466326,95836,420521,87955,412640,38443,135693,19050,116300,16422,113672
grafo4730.58.gml,0,107549,375353,55608,323412,46446,314250,391270,1302222,258579,1169531,236689,1147641,119850,435919,57787,373856,48268,364337
grafo11046.97.gml,0,168681,604217,83926,519462,70099,505635,525529,1771719,339150,1585340,308718,1554908,184670,677998,86468,579796,71772,565100
grafo1022.17.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4027.45.gml,0,3910,11943,2407,10440,2120,10153,19541,63246,13429,57134,12511,56216,4266,14272,2434,12440,2139,12145
grafo4785.79.gml,0,126386,446194,63884,383692,53168,372976,384047,1291973,247630,1155556,224424,1132350,134343,491708,63856,421221,53958,411323
grafo9862.36.gml,0,23342,76724,12946,66328,11204,64586,109108,355674,75336,321902,69426,315992,25158,90152,12966,77960,11330,76324
grafo9396.88.gml,0,196350,700116,98110,601876,81914,585680,680610,2279402,446747,2045539,407419,2006211,222847,816343,102755,696251,85558,679054
grafo7589.47.gml,0,95227,333083,48762,286618,40462,278318,308969,1036419,202364,929814,184210,911660,102607,372885,48830,319108,41450,311728
grafo11356.31.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5527.34.gml,0,9380,29576,5508,25704,4872,25068,45947,149685,31748,135486,29404,133142,10753,36382,5688,31317,5009,30638
grafo10374.97.gml,0,118050,414322,59560,355832,50120,346392,400047,1337655,262509,1200117,239447,1177055,131169,474488,61205,404524,50980,394299
grafo10368.96.gml,0,100550,353486,51032,303968,42388,295324,325168,1089778,211461,976071,192797,957407,108715,396007,51510,338802,43067,330359
grafo6296.43.gml,0,30692,103440,16620,89368,14674,87422,118246,391362,79616,352732,72894,346010,33840,119290,16918,102368,14440,99890
grafo7685.40.gml,0,52102,175366,28256,151520,24062,147326,234402,769900,160188,695686,147526,683024,60837,215300,29254,183717,25092,179555
grafo8963.92.gml,0,411066,1486042,201032,1276008,165553,1240529,1404064,4716750,917430,4230116,834909,4147595,474862,1747994,213358,1486490,175581,1448713
grafo3029.32.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3955.55.gml,0,30770,103290,16688,89208,14630,87150,129100,424548,87464,382912,80435,375883,34691,122303,17298,104910,14905,102517
grafo4229.60.gml,0,30234,101712,16094,87572,14346,85824,109558,363912,73436,327790,67230,321584,32108,114112,16266,98270,14222,96226
grafo9300.70.gml,0,95847,334881,49042,288076,40710,279744,318350,1066096,208944,956690,190632,938378,104209,378174,49348,323313,42060,316025
grafo3840.45.gml,0,17678,57201,9976,49499,8797,48320,84219,275026,57890,248697,53421,244228,20678,70966,10522,60810,9055,59343
grafo666.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10168.95.gml,0,110742,393962,55288,338508,46636,329856,327710,1106710,211288,990288,191144,970144,116770,429800,56080,369110,47048,360078
grafo1415.58.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4124.59.gml,0,58781,199689,31230,172138,27043,167951,254668,838440,172282,756054,158864,742636,68355,244096,33155,208896,28124,203865
grafo4876.60.gml,0,21856,72554,12144,62842,10112,60810,80754,266334,53757,239337,49287,234867,22485,80420,12021,69956,10215,68150
grafo4739.57.gml,0,25958,85932,14287,74261,12190,72164,106877,351627,72126,316876,66434,311184,29484,101805,14635,86956,12623,84944
grafo2639.29.gml,0,7044,21623,4305,18884,3848,18427,40090,129619,28081,117610,26068,115597,8786,28741,4473,24428,3952,23907
grafo10689.98.gml,0,327106,1182406,158418,1013718,130658,985958,962473,3260879,614464,2912870,555808,2854214,354235,1320758,161582,1128105,134616,1101139
grafo1137.10.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2726.38.gml,0,22088,73070,12212,63194,10178,61160,83084,273690,55472,246078,50870,241476,23306,82154,12086,70934,10332,69180
grafo10135.35.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2900.14.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5391.74.gml,0,106744,372728,55208,321192,45208,311192,377768,1258146,248885,1129263,227889,1108267,115635,425568,55823,365756,46615,356548
grafo3548.42.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2443.22.gml,0,5378,16828,3174,14624,2766,14216,23842,77724,16374,70256,15196,69078,5386,18888,3146,16648,2772,16274
grafo5925.45.gml,0,8577,26915,4859,23197,4325,22663,41201,133745,28426,120970,26412,118956,9124,31606,4857,27339,4332,26814
grafo1482.53.gml,0,16028,52890,8860,45722,7834,44696,61644,203334,41862,183552,38076,179766,16912,59406,8894,51388,7846,50340
grafo6206.62.gml,0,154243,537559,79119,462435,66547,449863,606338,2012374,404093,1810129,371525,1777561,179402,650539,83116,554253,69990,541127
grafo5727.43.gml,0,20564,68008,11476,58920,10000,57444,86166,283208,58591,255633,53817,250859,23027,79918,11703,68594,10173,67064
grafo5979.56.gml,0,11838,37485,6928,32575,5961,31608,57288,186609,39626,168947,36527,165848,13744,46427,7078,39761,6161,38844
grafo2898.14.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9020.65.gml,0,168277,598188,84428,514339,70111,500022,531398,1788989,345418,1603009,314574,1572165,179479,667633,84863,573017,70543,558697
grafo6066.36.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo6195.40.gml,0,4341,13623,2465,11747,2168,11450,17101,55821,11603,50323,10756,49476,4129,14433,2431,12735,2122,12426
grafo11550.35.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9063.73.gml,0,82850,285868,43234,246252,36362,239380,318930,1058352,212836,952258,195850,935272,93042,336726,44764,288448,37654,281338
grafo2645.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2273.40.gml,0,52580,176902,28524,152846,24316,148638,242010,793764,165620,717374,152598,704352,61934,219374,29680,187120,25464,182904
grafo8325.61.gml,0,56643,192979,30368,166704,26173,162509,232053,766067,155934,689948,143463,677477,65615,232039,31676,198100,26891,193315
grafo3556.61.gml,0,25374,84412,14194,73232,11668,70706,107532,351906,73202,317576,67520,311894,26654,95876,13610,82832,11786,81008
grafo5270.35.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10738.96.gml,0,122013,429618,61673,369278,51093,358698,409986,1372375,270095,1232484,245490,1207879,134071,488061,63178,417168,52382,406372
grafo5296.44.gml,0,17286,55919,9794,48427,8571,47204,79438,259645,54286,234493,50243,230450,19860,68165,10158,58463,8797,57102
grafo1276.26.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10969.98.gml,0,187118,657266,95709,565857,80299,550447,784827,2596025,529241,2340439,486234,2297432,220175,804553,101602,685980,84711,669089
grafo11501.35.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1308.27.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9714.66.gml,0,69966,241680,36548,208262,31018,202732,272071,902351,182628,812908,167198,797478,79945,285998,38269,244322,31952,238005
grafo2865.36.gml,0,5824,18256,3432,15864,3018,15450,28148,91480,19512,82844,18056,81388,6446,21762,3436,18752,3044,18360
grafo1693.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3485.38.gml,0,5498,17160,3272,14934,2862,14524,25180,81952,17363,74135,16072,72844,5897,19940,3258,17301,2872,16915
grafo3446.46.gml,0,23666,77616,13222,67172,11280,65230,113768,370386,78738,335356,72480,329098,26744,93564,13348,80168,11620,78440
grafo1624.23.gml,0,7375,23140,4385,20150,3894,19659,37540,121881,25966,110307,24083,108424,8635,28805,4492,24662,3959,24129
grafo7333.45.gml,0,103360,353682,54595,304917,46070,296392,439413,1449859,297173,1307619,272829,1283275,121590,434841,57152,370403,48185,361436
grafo1068.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8780.96.gml,0,353933,1263567,176385,1086019,147409,1057043,1376004,4579146,916637,4119779,840356,4043498,417352,1530743,187156,1300547,155020,1268411
grafo9834.81.gml,0,62385,216054,32199,185868,26805,180474,199524,668965,131183,600624,119026,588467,65225,237273,32542,204590,27170,199218
grafo7063.44.gml,0,5950,18692,3546,16288,3114,15856,23054,75252,15498,67696,14332,66530,5702,19976,3302,17576,2916,17190
grafo9374.65.gml,0,55700,191746,29292,165338,25138,161184,207676,688880,138051,619255,126625,607829,61536,221313,30468,190245,25873,185650
grafo3968.38.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4106.62.gml,0,29944,101114,16088,87258,14246,85416,107167,355783,71494,320110,65393,314009,31077,112044,16223,97190,14066,95033
grafo6927.50.gml,0,33722,111840,18689,96807,15974,94092,147680,485038,100746,438104,92473,429831,39502,136839,19368,116705,16476,113813
grafo1912.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9625.74.gml,0,42024,143318,22124,123418,18766,120060,150262,499888,100228,449854,91452,441078,45518,162274,22506,139262,19050,135806
grafo4371.71.gml,0,63440,217926,33208,187694,28014,182500,222765,740561,147248,665044,134720,652516,67645,245498,33773,211626,28524,206377
grafo1185.26.gml,0,2003,5985,1196,5178,1156,5138,8349,27025,5678,24354,5206,23882,1835,6259,1150,5574,1094,5518
grafo420.17.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5256.38.gml,0,1216,3592,776,3152,632,3008,5008,16240,3488,14720,3152,14384,1168,3728,720,3280,616,3176
grafo1051.34.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3138.60.gml,0,68142,232982,36331,201171,31135,195975,283192,935242,190965,843015,175702,827752,80109,282747,38048,240686,32453,235091
grafo11000.99.gml,0,398203,1420065,197532,1219394,163221,1185083,1481003,4942065,979072,4440134,896752,4357814,459121,1702390,208083,1451352,171889,1415158
grafo7175.46.gml,0,59510,205483,31059,177032,26543,172516,208650,694241,137967,623558,125877,611468,64314,232159,31881,199726,27017,194862
grafo5534.41.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7495.41.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4858.74.gml,0,140912,490990,72624,422702,61578,411656,562875,1867803,377588,1682516,345805,1650733,166244,597973,77092,508821,64486,496215
grafo404.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4834.74.gml,0,32028,109388,17092,94452,14846,92206,112264,373148,74148,335032,67948,328832,33614,121122,17336,104844,14988,102496
grafo11082.33.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4369.51.gml,0,23883,77859,13593,67569,11534,65510,111009,363259,76199,328449,70194,322444,28427,96965,13875,82413,12150,80688
grafo7331.41.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1452.49.gml,0,20316,65926,11452,57062,9864,55474,86990,284814,59265,257089,54471,252295,22519,78052,11703,67236,10077,65610
grafo3748.54.gml,0,40358,137740,21458,118840,18204,115586,147352,488922,97914,439484,89748,431318,44502,157112,22046,134656,18656,131266
grafo231.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8318.84.gml,0,102010,364020,51260,313270,42790,304800,299555,1013305,192150,905900,175130,888880,109540,397975,52090,340525,43140,331575
grafo4623.70.gml,0,168953,604977,84096,520120,70203,506227,530470,1787738,342968,1600236,312213,1569481,186522,681817,86845,582140,71870,567165
grafo6856.46.gml,0,38404,128868,20834,111298,18044,108508,165149,543283,111805,489939,103080,481214,45177,156924,21848,133595,18869,130616
grafo2369.43.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2067.25.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo6456.58.gml,0,93668,326626,48252,281210,41276,274234,355181,1179707,237062,1061588,216550,1041076,105614,383933,50330,328649,43066,321385
grafo4570.72.gml,0,29864,100402,16344,86882,14236,84774,121557,400885,82134,361462,75415,354743,34193,118710,17005,101522,14502,99019
grafo1285.26.gml,0,1178,3404,758,2984,634,2860,5328,17146,3722,15540,3390,15208,1090,3616,714,3240,612,3138
grafo11412.32.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10441.98.gml,0,267538,956300,131526,820288,108374,797136,850536,2863862,551602,2564928,501364,2514690,293735,1087337,136131,929733,113023,906625
grafo3551.39.gml,0,19254,62542,10792,54080,9465,52753,91801,299553,63364,271116,58210,265962,22381,77224,11159,66002,9575,64418
grafo9508.69.gml,0,37680,128327,19996,110643,16911,107558,133502,443095,88066,397659,81139,390732,40434,144257,20458,124281,17283,121106
grafo10180.98.gml,0,200388,715610,99632,614854,83432,598654,684681,2291693,449700,2056712,409997,2017009,219707,815639,102655,698587,85698,681630
grafo8554.84.gml,0,126274,446082,63772,383580,53168,372976,384047,1291973,247630,1155556,224256,1132182,134119,491484,63800,421165,53958,411323
grafo10641.99.gml,0,148355,519703,75457,446805,63067,434415,518684,1733772,341255,1556343,312584,1527672,167141,603432,78276,514567,65435,501726
grafo9737.74.gml,0,63236,218305,33509,188578,28479,183548,248501,822034,166705,740238,152798,726331,70352,254650,34486,218784,29192,213490
grafo4028.39.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5726.45.gml,0,16368,53906,8814,46352,7768,45306,57093,188293,38084,169284,34484,165684,16441,58232,8769,50560,7733,49524
grafo5777.38.gml,0,3114,9582,1860,8328,1638,8106,12124,39468,8186,35530,7562,34906,2998,10074,1814,8890,1576,8652
grafo1304.27.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1834.19.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11600.91.gml,0,132824,471386,66730,405292,55120,393682,409391,1380427,264166,1235202,241616,1212652,142623,524042,67290,448709,56306,437725
grafo821.16.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9257.62.gml,0,58139,195404,31012,168277,26835,164100,258487,849698,175824,767035,162111,753322,68031,241836,32674,206479,27821,201626
grafo6407.47.gml,0,18807,62365,10377,53935,8778,52336,65811,218327,43953,196469,40354,192870,18439,67079,9925,58565,8790,57430
grafo7655.49.gml,0,18222,59056,10246,51080,8965,49799,81512,266804,56024,241316,51363,236655,20268,70848,10496,61076,8997,59577
grafo4942.54.gml,0,53022,180568,28060,155606,24088,151634,209678,693832,140720,624874,129270,613424,60646,214426,29164,182944,24860,178640
grafo8452.85.gml,0,192580,688822,95648,591890,79828,576070,618360,2080172,401638,1863450,365112,1826924,211550,780274,98868,667592,82320,651044
grafo4706.58.gml,0,70444,240459,37609,207624,31527,201542,290284,959205,195935,864856,179867,848788,82362,291845,39115,248598,33563,243046
grafo5425.56.gml,0,89157,304989,47263,263095,39783,255615,381782,1258882,258262,1135362,238144,1115244,104306,373705,49363,318762,41694,311093
grafo5854.78.gml,0,145540,512790,74130,441380,61698,428948,510137,1705985,335556,1531404,307469,1503317,164878,596699,76394,508215,64026,495847
grafo2291.14.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo258.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1109.24.gml,0,5484,16752,3300,14568,2918,14186,29120,94264,20388,85532,18832,83976,6138,20810,3344,18016,2972,17644
grafo1375.26.gml,0,1881,5620,1142,4881,1132,4871,8663,28020,5976,25333,5502,24859,1835,6168,1110,5443,1018,5351
grafo5257.38.gml,0,3924,11957,2407,10440,2120,10153,19541,63246,13443,57148,12539,56244,4266,14272,2448,12454,2153,12159
grafo7148.39.gml,0,7632,24540,4398,21306,3915,20823,29768,97606,20090,87928,18429,86267,7546,26592,4368,23414,3877,22923
grafo9194.62.gml,0,19747,66530,10703,57486,9274,56057,74338,246157,49885,221704,45972,217791,21555,75231,10773,64449,9516,63192
grafo8263.78.gml,0,175656,628944,86708,539996,72052,525340,514741,1743237,328916,1557412,299020,1527516,188107,693794,88283,593970,73545,579232
grafo3394.39.gml,0,18990,62751,10516,54277,9303,53064,84209,275898,57712,249401,53052,244741,21309,74513,10873,64077,9597,62801
grafo9675.63.gml,0,99252,342530,51472,294750,43310,286588,375502,1245684,250315,1120497,229009,1099191,113779,405877,53474,345572,45145,337243
grafo7863.67.gml,0,59606,205947,31117,177458,26665,173006,211899,705008,140299,633408,128198,621307,65618,234810,32058,201250,27130,196322
grafo273.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7383.38.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo259.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8078.76.gml,0,49624,171880,26195,148451,22281,144537,157934,528196,102649,472911,93617,463879,51342,186866,25707,161231,21795,157319
grafo5538.58.gml,0,40468,136030,21576,117138,18364,113926,157896,520762,105418,468284,97050,459916,45692,159614,22306,136228,18910,132832
grafo6777.65.gml,0,22244,74944,12322,65022,10262,62962,79958,264924,53041,238007,48535,233501,23021,82482,12371,71832,10269,69730
grafo283.24.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11313.96.gml,0,467546,1707704,223060,1463218,181258,1421416,1326162,4517684,842982,4034504,760147,3951669,507761,1901071,230124,1623434,187437,1580747
grafo6802.74.gml,0,76419,264206,39721,227508,33092,220879,266281,888386,175729,797834,161579,783684,81692,298961,40412,257681,33752,251021
grafo5991.34.gml,0,2800,8400,1748,7348,1604,7204,14243,46045,9892,41694,9165,40967,3075,10076,1739,8740,1573,8574
